1,SOGO,1,1,1,-,-,-
2,AKEMI,2,2,85,-,-,-
3,TUFT & QUILT,2,2,85,-,-,-
4,ELITE SPRING BED,2,2,85,-,-,-
5,PERFECT HEALTH,2,2,85,-,-,-
6,ITSU,2,2,85,-,-,-
7,VALERIE,2,2,85,-,-,-
8,SERTA,2,2,85,-,-,-
9,PICASSO,2,2,85,-,-,-
10,HOUSE OF WINDSOR,2,2,85,-,-,-
11,KINGKOIL,2,2,85,-,-,-
12,LA-Z-BOY,2,2,85,-,-,-
13,PRINCESS,2,2,85,-,-,-
14,SCHOTT ZWEISEL,2,2,85,-,-,-
15,OXONE,2,2,85,-,-,-
16,CANELLA,2,2,85,-,-,-
17,FLORENCE,2,2,85,-,-,-
18,UNAKAFFEE,2,2,85,-,-,-
19,EMWAY FIELDCREAST/CA,2,2,85,-,-,-
20,JULIAHIE,2,2,85,-,-,-
21,REPIT,2,2,85,-,-,-
22,ROYAL DOULTON,3,2,85,-,-,-
23,GENI HOME FURNISHING,3,2,85,-,-,-
24,TOYOTERRY,3,2,85,-,-,-
25,SIMMONS,3,2,85,-,-,-
26,PHILIPS,3,2,85,-,-,-
27,SPRING AIR,3,2,85,-,-,-
28,TERRY PALMER,3,2,85,-,-,-
29,BOHEMIA,3,2,85,-,-,-
30,LIBBEY,3,2,85,-,-,-
31,MALINDA,3,2,85,-,-,-
32,TEMPUR,3,2,85,-,-,-
33,BEAUPHORIA,3,2,85,-,-,-
34,ELLE,4,2,85,-,-,-
35,ACE,4,2,85,-,-,-
36,PIERRE CARDIN,4,2,85,-,-,-
37,HUSH PUPPIES,4,2,85,-,-,-
38,LOJEL,4,2,85,-,-,-
39,DELSEY,4,2,85,-,-,-
40,AMERICAN TOURISTER,4,2,85,-,-,-
41,CARLTON,4,2,85,-,-,-
42,SAMSONITE,4,2,85,-,-,-
43,PACSAFE,4,2,85,-,-,-
44,CARLA,6,3,85,-,-,-
45,INVIO,5,3,85,-,-,-
46,EXECUTIVE,5,3,85,-,-,-
47,PARIGATA,5,3,85,-,-,-
48,MINIMAL,5,3,85,-,-,-
49,ULTRAVIOLET,5,3,85,-,-,-
50,MILLS,5,3,85,-,-,-
51,AMARI,5,3,85,-,-,-
52,VENICY,5,3,85,-,-,-
53,PERSONAL STYLE,5,3,85,-,-,-
54,VIP COUTURE,6,3,85,-,-,-
55,MOST,6,3,85,-,-,-
56,COME,6,3,85,-,-,-
57,COCOLULU,6,3,85,-,-,-
58,DIARIO,6,3,85,-,-,-
59,CHANTILY,6,3,85,-,-,-
60,VESPERINE,6,3,85,-,-,-
61,PUPPY,6,3,85,-,-,-
62,NOVEL.MICE,6,3,85,-,-,-
63,HUSH PUPPIES,6,3,20,-,-,-
64,PANELLI,6,3,85,-,-,-
65,CAVALIER,6,3,85,-,-,-
66,C2,6,3,85,-,-,-
67,MKY CLOTHING,6,3,85,-,-,-
68,UPTOWN,6,3,85,-,-,-
69,GIORDANO,6,3,85,-,-,-
70,ET CETERA,6,3,85,-,-,-
71,YOS,6,3,85,-,-,-
72,B L F,6,3,85,-,-,-
73,POLO,6,3,85,-,-,-
74,EPRISE,6,3,85,-,-,-
75,FACTOR,6,3,85,-,-,-
76,CHEVAL,6,3,85,-,-,-
77,FAV,6,3,85,-,-,-
78,IMAGE,6,3,85,-,-,-
79,CHIC SIMPLE,6,3,85,-,-,-
80,POINT ONE,6,3,85,-,-,-
81,COLORBOX,6,3,85,-,-,-
82,ICONS,6,3,85,-,-,-
83,KORZ,7,3,85,-,-,-
84,LYNE HALIM,7,3,85,-,-,-
85,BRILLIANT,7,3,85,-,-,-
86,ARITHALIA,7,3,85,-,-,-
87,BLANIK,7,3,85,-,-,-
88,VICTORIA ALEXANDRA,7,3,85,-,-,-
89,STAMP,7,3,85,-,-,-
90,SOLEMN,7,3,85,-,-,-
91,RIZKYA BATIK SOLO,7,3,85,-,-,-
92,AMIRAA,7,3,85,-,-,-
93,JENNA & KAIA,7,3,85,-,-,-
94,TIWIE,7,3,85,-,-,-
95,LULUDI,7,3,85,-,-,-
96,LUIRE,7,3,85,-,-,-
97,SOUL ACTIVE,7,3,85,-,-,-
98,MOUCA,7,3,85,-,-,-
99,RIANTY BATIK,7,3,85,-,-,-
100,YOKA BY NEUTRAL,7,3,85,-,-,-
101,MAGNOLIA,7,3,85,-,-,-
102,RADWAH,7,3,85,-,-,-
103,ELLE,7,3,85,-,-,-
104,BATEEQ,7,3,85,-,-,-
105,HOUSE OF KAIN,7,3,85,-,-,-
106,HIKMAT FASHION,7,3,85,-,-,-
107,YOUNG HEART,8,3,85,-,-,-
108,WACOAL,8,3,85,-,-,-
109,SORELLA,8,3,85,-,-,-
110,LE ROSETZ,8,3,85,-,-,-
111,CYNTHIA,8,3,85,-,-,-
112,PIERRE CARDIN,8,3,85,-,-,-
113,FELANCY,8,3,85,-,-,-
114,SUNAFIX,8,3,85,-,-,-
115,FACTOR,9,4,2,-,-,-
116,LEE,9,4,3,-,-,-
117,WRANGLER,9,4,3,-,-,-
118,OAKLEY,9,4,4,-,-,-
119,OCEAN PACIFIC,9,4,5,-,-,-
120,CROOZ,9,4,6,-,-,-
121,COCONUT ISLAND,9,4,7,-,-,-
122,CAMEL ACTIVE,9,4,8,-,-,-
123,DC,9,4,9,-,-,-
124,LEVIS,9,4,10,-,-,-
125,SKELLYSHOP,9,4,11,-,-,-
126,STUBBORN,9,4,12,-,-,-
127,VOLCOM,9,4,13,-,-,-
128,QUIKSILVER,9,4,9,-,-,-
129,VON DUTCH,9,4,14,-,-,-
130,DOCKERS,9,4,10,-,-,-
131,ARNOLD PALMER,10,4,15,-,-,-
132,KENT & CREW,10,4,15,-,-,-
133,FRANKMAN,10,4,16,-,-,-
134,SALT N PEPPER,10,4,17,-,-,-
135,POLO,10,4,18,-,-,-
136,CAPPUCIO,10,4,19,-,-,-
137,PIERROX,10,4,19,-,-,-
138,HUSH PUPPIES,10,4,20,-,-,-
139,MEN ON CLOTHES,10,4,21,-,-,-
140,CROCODILE,10,4,22,-,-,-
141,WOOD,10,4,3,-,-,-
142,M2,10,4,23,-,-,-
143,JACK NICKLAUS,10,4,24,-,-,-
144,NAIL,10,4,7,-,-,-
145,GQ,10,4,25,-,-,-
146,HISYAM,10,4,26,-,-,-
147,VALINO,11,4,15,-,-,-
148,VAN HEUSEN,11,4,15,-,-,-
149,VERSAIL,11,4,27,-,-,-
150,CARTHAGO,11,4,28,-,-,-
151,ARNON BROOK,11,4,29,-,-,-
152,EXECUTIVE,11,4,3,-,-,-
153,PIERRE CARDIN,11,4,30,-,-,-
154,ETHAN WHITE,11,4,30,-,-,-
155,TOOTAL,11,4,30,-,-,-
156,PROFUMO,11,4,31,-,-,-
157,GINO RESSILIO,11,4,32,-,-,-
158,ALESSANDRO VITALI,11,4,33,-,-,-
159,JOBB,11,4,24,-,-,-
160,JOHN CURTIS,11,4,34,-,-,-
161,ARROW,11,4,34,-,-,-
162,GUY LAROCHE,11,4,35,-,-,-
163,THULE,12,4,36,-,-,-
164,FABIO FRANSESCATI,12,4,37,-,-,-
165,DI BAZZATO,12,4,38,-,-,-
166,PIERRE CARDIN,12,4,30,-,-,-
167,FX CREATION,12,4,31,-,-,-
168,CERRUTI,12,4,40,-,-,-
169,DANIEL HECHTER,12,4,40,-,-,-
170,WATCH WORLD,12,4,41,-,-,-
171,CONDOTTI,12,4,42,-,-,-
172,NATIONAL GEOGRAPHIC,12,4,42,-,-,-
173,SPEX SYMBOL,12,4,43,-,-,-
174,LEE COOPER,12,4,44,-,-,-
175,CROCODILE,12,4,22,-,-,-
176,GOBELINI,12,4,45,-,-,-
177,HUSH PUPPIES,12,4,46,-,-,-
178,CASERINI,12,4,47,-,-,-
179,HERSCHEL,12,4,48,-,-,-
180,OBERMAIN,12,4,49,-,-,-
181,KICKERS,12,4,50,-,-,-
182,KALIBRE,12,4,51,-,-,-
183,ANDRE VALENTINO,13,4,52,-,-,-
184,FELIX VERGUSO,13,4,53,-,-,-
185,ANDREW,13,4,54,-,-,-
186,PIERRE CARDIN,13,4,30,-,-,-
187,ARNOLD PALMER,13,4,15,-,-,-
188,KICKERS,13,4,50,-,-,-
189,EVERBEST,13,4,57,-,-,-
190,LARRIE,13,4,58,-,-,-
191,CROCODILE,13,4,22,-,-,-
192,ORCA BAY,13,4,60,-,-,-
193,GINO MARIANI,13,4,61,-,-,-
194,HUSH PUPPIES,13,4,46,-,-,-
195,OBERMAIN,13,4,49,-,-,-
196,BE-BOB,14,4,62,-,-,-
197,FLY,14,4,63,-,-,-
198,ANDREW,14,4,54,-,-,-
199,GRUNLAND,14,4,54,-,-,-
200,PIERRE CARDIN,14,4,30,-,-,-
201,ROHDE,14,4,55,-,-,-
202,KICKERS,14,4,50,-,-,-
203,PAULISTA,14,4,64,-,-,-
204,EVERBEST,14,4,57,-,-,-
205,BOCOROCCO,14,4,65,-,-,-
206,HAVAIANAS,14,4,66,-,-,-
207,FITFLOP,14,4,67,-,-,-
208,AMORI,14,4,68,-,-,-
209,ANDRE VALENTINO,14,4,52,-,-,-
210,ELLE,14,4,69,-,-,-
211,STUDIO NINE,14,4,69,-,-,-
212,AMANTE,14,4,70,-,-,-
213,VIZZ-ANO,14,4,78,-,-,-
214,HUSH PUPPIES,14,4,46,-,-,-
215,NOCHE,14,4,49,-,-,-
216,OBERMAIN,14,4,49,-,-,-
217,SCHOLL,14,4,71,-,-,-
218,ARNOLD PALMER,14,4,15,-,-,-
219,LINEA,14,4,73,-,-,-
220,BROWN SHOES,14,4,74,-,-,-
221,ROBELLI,14,4,49,-,-,-
222,WANDA PANDA,14,4,49,-,-,-
223,BEAJOVE,14,4,77,-,-,-
224,JOCKEY,15,4,3,-,-,-
225,BODY CULTURE,15,4,79,-,-,-
226,PIERRE CARDIN,15,4,30,-,-,-
227,RENOMA,15,4,80,-,-,-
228,FELIX.B,15,4,81,-,-,-
229,MUNDO,15,4,82,-,-,-
230,HUSH PUPPIES,15,4,83,-,-,-
231,BYFORD,15,4,83,-,-,-
232,ARROW,15,4,34,-,-,-
233,THE BALM,16,5,85,-,-,-
234,SHISEIDO,16,5,85,-,-,-
235,SULWHASOO,16,5,85,-,-,-
236,ITS SKIN,16,5,85,-,-,-
237,SK II,16,5,85,-,-,-
238,LANCOME,16,5,85,-,-,-
239,ANNA SUI,16,5,85,-,-,-
240,CLINIQUE,16,5,85,-,-,-
241,REVLON,16,5,85,-,-,-
242,MAYBELLINE,16,5,85,-,-,-
243,SISLEY,16,5,85,-,-,-
244,ESTEE LAUDER,16,5,85,-,-,-
245,CLARINS,16,5,85,-,-,-
246,MAX FACTOR,16,5,85,-,-,-
247,DERMALOGICA,16,5,85,-,-,-
248,THE SAEM,16,5,85,-,-,-
249,LOREAL,16,5,85,-,-,-
250,PHYTO,16,5,85,-,-,-
251,BY THE SEA,16,5,85,-,-,-
252,KANEBO,16,5,85,-,-,-
253,MAISYA,16,5,85,-,-,-
254,COSRX,16,5,85,-,-,-
255,GUERLAIN,16,5,85,-,-,-
256,LA GIRL,16,5,85,-,-,-
257,KOSE,16,5,85,-,-,-
258,ULTIMA II,16,5,85,-,-,-
259,MISSHA,16,5,85,-,-,-
260,LIPAULT,17,5,85,-,-,-
261,GIOVANNI,17,5,85,-,-,-
262,GIANNI VERSACE,17,5,85,-,-,-
263,BULGARI,17,5,85,-,-,-
264,VERDUCCI,17,5,85,-,-,-
265,PRADA,17,5,85,-,-,-
266,BOURJOIS,17,5,85,-,-,-
267,YSL,17,5,85,-,-,-
268,PACO RABANNE,17,5,85,-,-,-
269,THIERRY MUGLER,17,5,85,-,-,-
270,LAMPE BERGER,18,5,85,-,-,-
271,GUESS,18,5,85,-,-,-
272,HUSH PUPPIES,18,5,46,-,-,-
273,BUTTONSCARVES,18,5,85,-,-,-
274,ELLE,18,5,85,-,-,-
275,KICKERS,18,5,85,-,-,-
276,BELLEZZA,18,5,85,-,-,-
277,COOL SUNGLASS,18,5,85,-,-,-
278,JULIA,18,5,85,-,-,-
279,KAY COLLECTION,18,5,85,-,-,-
280,AIGNER,18,5,85,-,-,-
281,GOBELINI,18,5,85,-,-,-
282,ABSOLUTE NEW YORK,18,5,85,-,-,-
283,TED BAKER,18,5,85,-,-,-
284,BONIA,18,5,85,-,-,-
285,CAROLINA HERRERA,18,5,85,-,-,-
286,KENZO,18,5,85,-,-,-
287,JANSPORT,18,5,85,-,-,-
288,ELIZABETH ARDEN,18,5,85,-,-,-
289,GOODY,18,5,85,-,-,-
290,BALLIN,18,5,85,-,-,-
291,HERMES,18,5,85,-,-,-
292,ANOTHER YOU,18,5,85,-,-,-
293,PHILLIPE JOURDAN,18,5,85,-,-,-
294,HANA,18,5,85,-,-,-
295,LES CATINO,18,5,85,-,-,-
296,GUY LAROCHE,18,5,85,-,-,-
297,ESPRIT,18,5,85,-,-,-
298,SPEX SYMBOL,18,5,85,-,-,-
299,SAKROOTS,18,5,85,-,-,-
300,EN - JI,18,5,85,-,-,-
301,PALOMINO,18,5,85,-,-,-
302,HERSCHEL,18,5,85,-,-,-
